Date,Year,Month,MonthName,Day,Weekday,Quarter
2024-05-05,2024,5,May,5,Sunday,2
2024-05-06,2024,5,May,6,Monday,2
2024-05-07,2024,5,May,7,Tuesday,2
2024-05-08,2024,5,May,8,Wednesday,2
2024-05-09,2024,5,May,9,Thursday,2
2024-05-10,2024,5,May,10,Friday,2
2024-05-11,2024,5,May,11,Saturday,2
2024-05-12,2024,5,May,12,Sunday,2
2024-05-13,2024,5,May,13,Monday,2
2024-05-14,2024,5,May,14,Tuesday,2
2024-05-15,2024,5,May,15,Wednesday,2
2024-05-16,2024,5,May,16,Thursday,2
2024-05-17,2024,5,May,17,Friday,2
2024-05-18,2024,5,May,18,Saturday,2
2024-05-19,2024,5,May,19,Sunday,2
2024-05-20,2024,5,May,20,Monday,2
2024-05-21,2024,5,May,21,Tuesday,2
2024-05-22,2024,5,May,22,Wednesday,2
2024-05-23,2024,5,May,23,Thursday,2
2024-05-24,2024,5,May,24,Friday,2
2024-05-25,2024,5,May,25,Saturday,2
2024-05-26,2024,5,May,26,Sunday,2
2024-05-27,2024,5,May,27,Monday,2
2024-05-28,2024,5,May,28,Tuesday,2
2024-05-29,2024,5,May,29,Wednesday,2
2024-05-30,2024,5,May,30,Thursday,2
2024-05-31,2024,5,May,31,Friday,2
2024-06-01,2024,6,June,1,Saturday,2
2024-06-02,2024,6,June,2,Sunday,2
2024-06-03,2024,6,June,3,Monday,2
2024-06-04,2024,6,June,4,Tuesday,2
2024-06-05,2024,6,June,5,Wednesday,2
2024-06-06,2024,6,June,6,Thursday,2
2024-06-07,2024,6,June,7,Friday,2
2024-06-08,2024,6,June,8,Saturday,2
2024-06-09,2024,6,June,9,Sunday,2
2024-06-10,2024,6,June,10,Monday,2
2024-06-11,2024,6,June,11,Tuesday,2
2024-06-12,2024,6,June,12,Wednesday,2
2024-06-13,2024,6,June,13,Thursday,2
2024-06-14,2024,6,June,14,Friday,2
2024-06-15,2024,6,June,15,Saturday,2
2024-06-16,2024,6,June,16,Sunday,2
2024-06-17,2024,6,June,17,Monday,2
2024-06-18,2024,6,June,18,Tuesday,2
2024-06-19,2024,6,June,19,Wednesday,2
2024-06-20,2024,6,June,20,Thursday,2
2024-06-21,2024,6,June,21,Friday,2
2024-06-22,2024,6,June,22,Saturday,2
2024-06-23,2024,6,June,23,Sunday,2
2024-06-24,2024,6,June,24,Monday,2
2024-06-25,2024,6,June,25,Tuesday,2
2024-06-26,2024,6,June,26,Wednesday,2
2024-06-27,2024,6,June,27,Thursday,2
2024-06-28,2024,6,June,28,Friday,2
2024-06-29,2024,6,June,29,Saturday,2
2024-06-30,2024,6,June,30,Sunday,2
2024-07-01,2024,7,July,1,Monday,3
2024-07-02,2024,7,July,2,Tuesday,3
2024-07-03,2024,7,July,3,Wednesday,3
2024-07-04,2024,7,July,4,Thursday,3
2024-07-05,2024,7,July,5,Friday,3
2024-07-06,2024,7,July,6,Saturday,3
2024-07-07,2024,7,July,7,Sunday,3
2024-07-08,2024,7,July,8,Monday,3
2024-07-09,2024,7,July,9,Tuesday,3
2024-07-10,2024,7,July,10,Wednesday,3
2024-07-11,2024,7,July,11,Thursday,3
2024-07-12,2024,7,July,12,Friday,3
2024-07-13,2024,7,July,13,Saturday,3
2024-07-14,2024,7,July,14,Sunday,3
