InvoiceID,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,InvoiceDate,EmployeeID,VendorID,DepartmentID,PaymentStatus
INV100000,CUST0073,PROD002,2,1468.08,2936.16,2024-10-24,EMP006,VEND004,DEPT05,Unpaid
INV100001,CUST0017,PROD008,5,815.13,4075.65,2024-08-06,EMP036,VEND002,DEPT03,Pending
INV100002,CUST0028,PROD004,7,1492.97,10450.79,2024-08-02,EMP046,VEND003,DEPT03,Overdue
INV100003,CUST0057,PROD008,4,142.84,571.36,2024-12-23,EMP008,VEND002,DEPT06,Paid
INV100004,CUST0076,PROD004,1,152.94,152.94,2025-02-08,EMP038,VEND002,DEPT05,Paid
INV100005,CUST0030,PROD002,2,795.53,1591.06,2024-11-10,EMP003,VEND003,DEPT04,Overdue
INV100006,CUST0086,PROD008,3,1098.86,3296.58,2024-12-19,EMP014,VEND005,DEPT06,Pending
INV100007,CUST0032,PROD008,2,190.55,381.1,2024-08-12,EMP027,VEND002,DEPT05,Pending
INV100008,CUST0046,PROD007,1,1026.38,1026.38,2024-06-01,EMP027,VEND004,DEPT05,Paid
INV100009,CUST0008,PROD007,2,410.55,821.1,2024-08-16,EMP047,VEND003,DEPT03,Unpaid
INV100010,CUST0069,PROD008,3,453.89,1361.67,2024-08-11,EMP009,VEND004,DEPT06,Unpaid
INV100011,CUST0010,PROD008,1,995.61,995.61,2024-08-29,EMP036,VEND001,DEPT03,Paid
INV100012,CUST0012,PROD004,8,747.97,5983.76,2024-11-17,EMP011,VEND004,DEPT06,Pending
INV100013,CUST0008,PROD003,7,434.54,3041.78,2024-06-23,EMP025,VEND001,DEPT05,Pending
INV100014,CUST0037,PROD007,8,274.46,2195.68,2024-07-27,EMP045,VEND005,DEPT01,Overdue
INV100015,CUST0028,PROD001,1,1134.56,1134.56,2025-01-12,EMP038,VEND005,DEPT05,Paid
INV100016,CUST0007,PROD008,3,132.48,397.44,2025-01-17,EMP033,VEND005,DEPT05,Paid
INV100017,CUST0024,PROD002,4,635.47,2541.88,2024-05-27,EMP039,VEND001,DEPT05,Unpaid
INV100018,CUST0075,PROD001,7,1003.19,7022.33,2024-09-30,EMP040,VEND001,DEPT01,Overdue
INV100019,CUST0034,PROD004,4,435.14,1740.56,2024-11-18,EMP043,VEND003,DEPT04,Unpaid
INV100020,CUST0086,PROD005,2,63.51,127.02,2024-10-03,EMP030,VEND003,DEPT03,Paid
INV100021,CUST0010,PROD004,3,1403.23,4209.69,2024-07-18,EMP033,VEND003,DEPT05,Paid
INV100022,CUST0032,PROD006,8,1258.93,10071.44,2024-10-04,EMP019,VEND002,DEPT02,Overdue
INV100023,CUST0079,PROD001,5,1401.05,7005.25,2025-03-31,EMP043,VEND005,DEPT04,Paid
INV100024,CUST0018,PROD005,9,275.4,2478.6,2024-12-03,EMP008,VEND001,DEPT06,Overdue
INV100025,CUST0078,PROD004,4,1046.87,4187.48,2025-01-13,EMP046,VEND003,DEPT03,Overdue
